iter	Passed	Remaining
767	5110	1543
768	5115	1536
769	5117	1528
770	5120	1520
771	5123	1513
772	5127	1505
773	5130	1497
774	5132	1490
775	5135	1482
776	5139	1475
777	5144	1468
778	5147	1460
779	5153	1453
780	5161	1447
781	5165	1440
782	5168	1432
783	5170	1424
784	5174	1417
785	5177	1409
786	5180	1401
787	5182	1394
788	5185	1386
789	5190	1379
790	5192	1372
791	5195	1364
792	5198	1356
793	5201	1349
794	5205	1342
795	5208	1334
796	5211	1327
797	5213	1319
798	5219	1313
799	5223	1305
800	5226	1298
801	5229	1290
802	5231	1283
803	5236	1276
804	5241	1269
805	5256	1265
806	5260	1258
807	5269	1252
808	5272	1244
809	5276	1237
810	5284	1231
811	5287	1224
812	5289	1216
813	5299	1210
814	5301	1203
815	5306	1196
816	5333	1194
817	5336	1187
818	5348	1182
819	5352	1174
820	5355	1167
821	5372	1163
822	5383	1157
823	5386	1150
824	5388	1143
825	5396	1136
826	5399	1129
827	5402	1122
828	5405	1114
829	5408	1107
830	5411	1100
831	5413	1093
832	5420	1086
833	5423	1079
834	5425	1072
835	5428	1065
836	5431	1057
837	5435	1050
838	5438	1043
839	5441	1036
840	5450	1030
841	5456	1023
842	5467	1018
843	5470	1011
844	5472	1003
845	5481	997
846	5484	990
847	5489	983
848	5496	977
849	5498	970
850	5511	965
851	5514	957
852	5533	953
853	5536	946
854	5544	940
855	5557	934
856	5560	927
857	5563	920
858	5565	913
859	5568	906
860	5572	899
861	5575	892
862	5584	886
863	5588	879
864	5591	872
865	5598	866
866	5601	859
867	5605	852
868	5613	846
869	5615	839
870	5619	832
871	5622	825
872	5625	818
873	5628	811
874	5631	804
875	5640	798
876	5644	791
877	5647	784
878	5651	777
879	5654	771
880	5662	764
881	5667	758
882	5674	751
883	5677	745
884	5689	739
885	5692	732
886	5695	725
887	5700	718
888	5705	712
889	5707	705
890	5713	698
891	5716	692
892	5719	685
893	5725	678
894	5728	672
895	5730	665
896	5732	658
897	5734	651
898	5736	644
899	5741	637
900	5743	631
901	5745	624
902	5747	617
903	5749	610
904	5751	603
905	5756	597
906	5760	590
907	5763	583
908	5765	577
909	5767	570
910	5771	563
911	5774	557
912	5778	550
913	5780	543
914	5783	537
915	5789	530
916	5793	524
917	5796	517
918	5799	511
919	5802	504
920	5805	497
921	5809	491
922	5818	485
923	5821	478
924	5834	473
925	5839	466
926	5844	460
927	5846	453
928	5853	447
929	5856	440
930	5860	434
931	5864	427
932	5870	421
933	5874	415
934	5877	408
935	5881	402
936	5886	395
937	5891	389
938	5894	382
939	5898	376
940	5900	369
941	5903	363
942	5906	357
943	5917	351
944	5920	344
945	5922	338
946	5924	331
947	5928	325
948	5931	318
949	5937	312
950	5942	306
951	5945	299
952	5953	293
953	5964	287
954	5969	281
955	5972	274
956	5974	268
957	5981	262
958	5986	255
959	5990	249
960	5993	243
961	5996	236
962	6005	230
963	6008	224
964	6011	218
965	6013	211
966	6018	205
967	6021	199
968	6024	192
969	6030	186
970	6033	180
971	6038	173
972	6040	167
973	6046	161
974	6048	155
975	6052	148
976	6055	142
977	6057	136
978	6061	130
979	6066	123
980	6071	117
981	6075	111
982	6080	105
983	6083	98
984	6098	92
985	6103	86
986	6112	80
987	6115	74
988	6117	68
989	6119	61
990	6122	55
991	6125	49
992	6128	43
993	6131	37
994	6134	30
995	6138	24
996	6141	18
997	6144	12
998	6146	6
999	6148	0
